global_step,eval_loss,train_loss,matches,wer
647,2.2882497176527976,2.5907108783721924,36,63.791284350000005
1294,2.1835196569561957,2.1189165115356445,42,61.305704
1941,2.2479536324739455,1.1457475423812866,43,63.394434649999994
2000,2.393701192736626,0.8272019624710083,42,65.989946
2588,2.4248076170682906,0.7784221172332764,43,63.98306875
3235,2.705630771815777,0.49143919348716736,42,62.62379505
3882,2.9217369332909584,0.4573625922203064,39,62.3859525
4000,2.975421443581581,0.2848767340183258,40,62.00924095
4529,2.9860076665878297,0.25648701190948486,36,61.341766750000005
5176,3.115962889790535,0.059586502611637115,41,61.820672200000004
5823,3.1653448909521105,0.17620790004730225,40,61.431660650000005
